score,title,company,location,link,source,matched
28,Vallum Associates,Unknown,Unknown,https://uk.linkedin.com/company/vallum-associates-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +loc:remote, +remote, +entry:associate"
28,Cyber Security Analyst,Unknown,Unknown,https://uk.linkedin.com/jobs/view/cyber-security-analyst-at-tria-4388468341?position=28&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=dXob81ggH51%2BekSDYCG2Fw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-datum-technologies-group-4385948062?position=30&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=JW1QoGx8RB4wNsS85Ud0lw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst,Unknown,Unknown,https://sa.linkedin.com/jobs/view/cyber-security-analyst-at-emdad-by-elm-4382423208?position=31&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=n6DTgORSKHj6gK0aApr4Eg%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-inspyr-solutions-4391198146?position=32&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=vpNq6q1LjpEl%2BOlER8FYIw%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cybersecurity Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-saransh-inc-4380950084?position=33&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=kluXsXNErDOun1vtK2ticA%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Cyber Security Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-eliassen-group-4392422404?position=34&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=m9VFHHnTSB8xhDKoLiYAAQ%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,Security Operations Center Analyst,Unknown,Unknown,https://www.linkedin.com/jobs/view/security-operations-center-analyst-at-james-search-group-4392303131?position=35&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=6zZ3cBVWvMyGKw5XReSH5w%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security operations, +loc:remote, +remote, +entry:analyst"
28,"Information Security Analyst I - Cincinnati, OH",Unknown,Unknown,https://www.linkedin.com/jobs/view/information-security-analyst-i-cincinnati-oh-at-whitedog-cyber-4280255709?position=36&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=nuzKliEJUhSk%2FhcnAuHiiA%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
28,EXECUTIVE SOC,Unknown,Unknown,https://in.linkedin.com/jobs/view/executive-soc-at-network-techlab-india-limited-4393551904?position=38&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=342QyYZNZrH7ebhofY3adA%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:soc, +loc:remote, +remote, +entry:analyst"
28,IT Security Analyst,Unknown,Unknown,https://my.linkedin.com/jobs/view/it-security-analyst-at-petron-malaysia-refining-marketing-bhd-4308076695?position=39&amp;pageNum=0&amp;refId=HFlPPv%2BeCGaeEVb4ULObrA%3D%3D&amp;trackingId=IhtK2BtiXcH9n0l6fz%2FCbA%3D%3D,https://www.linkedin.com/jobs/search/?keywords=cybersecurity%20analyst&location=Remote,"+kw:cybersecurity, +kw:security analyst, +loc:remote, +remote, +entry:analyst"
